name,level,school,casting_time,range,components,duration,classes,source,description
Harvest Pyre,2,Evocation,"1 reaction, taken when you cast a spell of 1st level or higher",60 ft,"V, S",instantaneous,"Cleric, Druid, Sorcerer, Warlock, Wizard",Innistrad,"You can use your reaction to cast this spell when you finish casting another spell of 1st level or higher. You ignite the remnant magical energy in the air, creating a blazing fire. Choose a creature that you can see within range that was affected by the spell you previously cast. The target automatically takes an amount of fire damage equal to 1d6 x the level of the spell you previously cast."
Heartless Summoning,4,Conjuration,1 bonus action,Self,"V, S",1 minute,"Druid, Ranger, Wizard",Innistrad,"You reach into the ether and prepare to drag forth an ally, kicking and screaming if you must. The next time before this spell ends, when you cast a spell that allows you to summon other creatures, you instead summon twice as many of those creatures, except that each creature that appears has half as many hit points as it normally would."
Heretic's Punishment,9,Enchantment,1 action,60 ft,"V, S","Concentration, up to 1 min.","Cleric, Sorcerer, Warlock",Innistrad,"When you cast this spell and as a bonus action on each of your turns for the spell's duration, choose a creature that you can see within range. A burning red light appears above the target, illuminating it and forcing it to make a Constitution saving throw. On a failed save the target takes 3d10 radiant damage and is stunned until the end of its next turn. On a success the target takes half as much damage and is not blinded. Whether the target succeeds or fails, it then rolls 3d10. If two or more of these dice have the same result, the target must make another Constitution saving throw against the spell's effects."
Hysterical Blindness,3,Necromancy,1 action,Self,"V, S",1 minute,"Bard, Cleric, Sorcerer, Wizard",Innistrad,"Each creature in a 30-foot radius, including yourself, must succeed on a Constitution saving throw or be blinded for the spell's duration. A blinded creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Whenever a blinded creature is hit by a melee attack or hits another creature with a melee attack, the other creature must succeed on a Constitution saving throw or also be blinded for the spell's duration."
Infernal Plunge,1,Necromancy,1 bonus action,Self,S,"Concentration, up to 1 min.","Bard, Sorcerer, Warlock, Wizard",Innistrad,"You ready yourself to draw the life force from your enemies, transforming it into pure power. The next time you reduce a creature to 0 hit points with a spell or attack before this spell ends, you can use your reaction to cast a spell of 3rd level or lower that you know and have prepared without expending a spell slot."
Intangible Virtue,3,Conjuration,1 action,Self,"V, S",1 minute,"Druid, Ranger, Wizard",Innistrad,"As a reward for their service, you offer a noble strength to the allies that you summon from the ether. The next time you cast a spell that allows you to summon other creatures before this spell ends, you can instead cast that spell as a bonus action, and the summoned creatures each gain a +1 bonus to all attack and damage rolls for as long as they remain your ally."
Into the Maw of Hell,8,Evocation,1 action,120 ft,"V, S, M (a piece of volcanic rock worth at least 250 gp carved to resemble a fiend, consumed in the casting)",Instantaneous,"Cleric, Druid, Sorcerer",Innistrad,"Choose a creature that you can see within range. You whisper a few words in Infernal, and as the rock in your hands begins to grow unbearably hot, you crush it into pieces. The ground opens up beneath the target, exposing a pit of sizzling magma and forcing the target to make a Dexterity saving throw. On a success, the target leaps into an unoccupied space of its choice within 5 feet. This movement does not provoke opportunity attacks. On a failed save, the target plummets into the pit and falls into the magma, immediately taking 10d10 fire damage. A creature within 5 feet of the pit can attempt to pull the trapped creature free by making a Strength (Athletics) check against your spell save DC, freeing the target on a success At the start of its next turn, the target can repeat the saving throw or make a Strength (Athletics) check, its choice. On a success, the target successfully climbs free of the pit, into an unoccupied space of its choice within 5 feet. On a failed save, the target remains in the magma, taking an additional 3d10 fire damage, and the entrance to the pit closes, trapping the target inside. Unless the target has some other method of leaving the pit, such as digging through the earth or teleporting out, it remains trapped and continues to take 3d10 fire damage at the start of each of its turns."
Kieryluk's Unbridled Curiosity,2,Divination,1 bonus action,Self,"V, S","Concentration, up to 1 min.","Bard, Wizard",Innistrad,"You turn violence into a proxy for your curiosity, gaining information by any means necessary. For the duration of the spell, you can use an action on your turn to make a melee spell attack against any creature within 5 feet, striking out with a dagger or other cutting instrument made of pure energy. On a hit, the target takes 2d6 psychic damage and must make a Charisma saving throw. If the target fails the saving throw, you learn one piece of information about it. You can determine the nature of the information you want to learn, but not the exact information discovered. For instance, you might choose to learn a secret the target knows, but the DM determines what secret you discover; or you might try to learn one of the target's ability scores, but you are not able to choose which one."
Moonmist,2,Transmutation,1 action,Self (60-foot radius),"V, S","Concentration, up to 1 min.",Druid,Innistrad,"When you cast this spell, a cloud of shining mist rises up from the ground around you, reflecting a gold and silver light. This mist remains for the spell's duration, and covers an area within a 60-foot radius. Each creature that begins its turn within the mist's radius must make a Constitution saving throw.Creatures that aren't shapechangers that fail this saving throw have disadvantage on attack rolls and Wisdom (Perception) checks made until the start of their next turn. Shapechangers that fail this saving throw automatically transform, even if they could not normally. A shapechanger that transforms this way remains transformed until the spell ends."
Night Terrors,3,Enchantment,1 action (ritual),Self,"V, S, M (a bit of grave dust and an animal skull)",7 days,"Bard, Druid, Warlock, Wizard",Innistrad,"You infect the dreams of a creature with an unnerving, creeping, and exhausting dread. For the duration of the spell, whenever the target begins to sleep it must make a Charisma saving throw. On a success, the spell ends. On a failed save, its dreams during sleep are filled with lurking terrors and horrifying visages, leaving it tossing and turning and preventing it from gaining the benefits of a long rest. If the target fails the saving throw by 10 or more, it also suffers from one level of exhaustion after waking.If a creature affected by this spell is woken in the middle of its sleep, it must immediately make the saving throw again. On a success, the target takes 3d6 psychic damage and the spell ends. On a failed save, the target takes 3d6 psychic damage and the spell's effects continue, forcing it to make the saving throw again the next time it falls asleep.
 At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, the spell's duration is doubled."
Spidery Grasp,3,Transmutation,1 bonus action,Self,"V, S, M (a set of spider's legs)",1 min.,"Druid, Ranger, Wizard",Innistrad,"Your fingertips warp into spinnerets, letting you spin webs of spider's silk at will. For the duration of the spell, you can use an action on each of your turns to shoot webbing from your fingertips, wrapping it around a creature you can see within 30 ft., and forcing the target to succeed on a Strength saving throw or have its speed reduced by 10 ft. A target whose speed is reduced in this way can't move more than 30 ft. from you, and if a target's speed is reduced to 0 ft. in this way, they become restrained until the webbing is removed. The webbing has 15 hit points, immunity to bludgeoning, poison, and psychic damage, and vulnerability to slashing and fire damage. A creature can remove the webbing by using an action to make a Strength (Athletics) check with a DC equal to your spell save DC, or by reducing the webbing to 0 hit points. You can also use the webbing to move around, using an action to launch the webbing at a point you can see within 30 ft. and pulling yourself towards that point. This movement does not provoke opportunity attacks."
Wreath of Geists,2,Abjuration,1 action,Self,"V, S","Concentration, up to 1 hour",Wizard,Innistrad,"As you cast this spell, a swirling ring of tormented souls appears around you, defending you and growing as you cut down more foes to add to their ranks. For the duration of the spell, you gain a +1 bonus to AC. Whenever you reduce a creature to 0 hit points, this bonus increases by 1, up to a maximum of +3. In addition, whenever you would be hit by an attack, you can use your reaction to reduce the damage by half. Doing so reduces the bonus to AC provided by the spell by 1. If this bonus is reduced to 0, the spell immediately ends.
 "
Rite of Replication,4,Conjuration,1 action,Touch,"V, S, M (a number of pearls equal to the number of copies being made, each worth at least 500 gp, consumed in the casting)","Concentration, up to 1 hour","Druid, Wizard",Zendikar,"Magic flows through your fingertips as you imprint all of the information about the target onto the pearl. After doing so, the pearl rapidly expands and shapes itself into an exact duplicate of the target in an unoccupied space of your choice within 10 feet. The copy has the same AC, ability scores, proficiencies, equipment, and remaining hit points as the target. If the copy is summoned while in the middle of combat, it immediately rolls initiative as normal. If the target can cast spells the copy can do so as well, but any spells the copy casts uses the target's own spell slots. The copy is aware that it is a duplicate created by you, but shares the same affiliation towards you as the original target, and if the original target is hostile towards you, the copy will be as well. If the copy is reduced to 0 hit points or the spell ends, it immediately disappears, as its body disintegrates into salt water and seaweed.
 Kicker. When you cast this spell using a spell slot of 9th-level, it instead creates five copies of the target. Each copy has the same statistics as listed above.
 
 "
Act of Treason,3,Enchantment,1 action,60 ft,"V, M (a heliotrope stone worth at least 150 gp, consumed in the casting)",1 round,"Sorcerer, Warlock, Wizard",Magic 2010,"Choose a creature that you can see within range. At the start of its turn, the target must make a Wisdom saving throw. On a failed save, a haze of red settles over its mind, filling its thoughts with uncontrollable anger toward another creature of your choice within range that it can see. For the duration of the spell, the target becomes hostile to the chosen creature, and must use its action on its turn to attack that creature.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the spell's duration increases by 1 round for each slot level above 3rd. The target can repeat the saving throw at the start of each of its turns, ending the spell's effect on a success.
 "
Angelic Blessing,3,Transmutation,1 action,30 ft,"S, M (a white feather)",1 round,"Cleric, Paladin",Portal,"Feathery wings sprout from the back of a creature of your choice that you can see within range, and their body is illuminated with holy radiance. Until the start of your next turn, the target gains a flying speed of 60 feet, resistance to nonmagical damage, and its weapon attacks all deal an additional 1d8 radiant damage on a hit. If the target would be reduced to 0 hit points before the spell ends, it is reduced to 1 hit point instead.
 "
Bitterblossom,4,Conjuration,1 min,Self,"V, M (a drop of your own blood and a jewel of any type worth at least 50 gp, both consumed in the casting)","Concentration, up to 1 hour","Bard, Cleric, Druid, Ranger, Warlock, Wizard",Morningtide,"You craft a magical deal with a minor court of the feywild, trading riches and blood for assistance in a time of need. When you cast this spell, you summon four pixies or sprites (your choice of which), which appear in unoccupied spaces of your choice that you can see within 10 feet.The summoned creatures are friendly to you and your allies. In combat, they share your initiative count, and act immediately at the end of your turn in the order of your choice. You can communicate telepathically with the summoned creatures, even if you do not share a language, and do their best to obey any mental commands you issue (no action required). If you don't issue any commands, the summoned creatures remain within 30 feet of you at all times, and in combat defend themselves and each other, but otherwise take no actions.For the duration of the spell, you can use an action on each of your turns to summon additional fey from the same court. When you do, an additional 1d4 pixies or sprites (your choice of which) appear in random unoccupied spaces that you can see within 10 feet, and you lose 5 hit points for each fey summoned this way.If a pixie or sprite summoned this way is reduced to 0 hit points, it is not killed, and instead disappears, returning to its home in the Feywild.
 "
Mayael's Aria,6,Transmutation,1 action,60 ft,"V, M (a hyacinth flower, a pearl worth 500 gp, ruby dust worth 1000 gp, and an emerald worth 2000 gp, all consumed in the casting)","Concentration, up to 1 min.","Bard, Cleric, Druid, Sorcerer",Alara Reborn,"When you cast this spell, you begin a song written ages ago, when the world was still a primal place. Choose a creature that you can see within range and that can hear you. At the beginning of each of your turns for the duration of the spell, the target gets a cumulative +1 bonus to its attack rolls, and all of its melee attacks deal an additional cumulative 1d6 damage. At the beginning of each of your turns, you must use your action to continue the song. At the start of each of your turns, if the creature can not hear you for any reason, or if you do not use your action to continue the song, the spell ends, and any bonuses the creature received from the song fade away. If the song continues for 1 full minute, at the end of your turn, the target transforms into a solar, and its statistics, including its mental ability scores, are replaced with those of its new form. It retains its personality and alignment, and any equipment it is wearing or carrying grows to match its new form. This transformation lasts for 10 minutes or until the target uses a bonus action to end it, after which the target suffers one level of exhaustion.
 "
Goldhawk's Spell Absorption,6,Abjuration,"1 reaction, which you take when you see a creature within 60 feet of you casting a spell",60 ft,S,Instantaneous,"Cleric, Wizard",Invasion,"You attempt to absorb the magical power of a spell being cast by another creature. If the creature is casting a spell of 6th level or lower, its spell fails and has no effect, and you gain a number of temporary hit points equal to 5 x the level of the spell being cast.
 At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, the absorbed spell has no effect if its level is less than or equal to the level of the spell slot you used.
 
 "
Blustersquall,2,Conjuration,"1 reaction, which you take when a creature you can see within range makes a melee attack against you",30 ft,"S, M (a butterfly wing)",Instantaneous,"Bard, Druid, Ranger, Sorcerer, Wizard",Return to Ravnica,"You kick up a brief but powerful gust of wind, attempting to disrupt the creature's attack. The target must succeed on a Dexterity saving throw or be knocked prone, and suffer disadvantage on the attack roll.
 Overload. When you cast this spell using a spell slot of 4th level or higher, instead each creature of your choice within range must succeed on a Dexterity saving throw or be knocked prone. In addition, the target's attack automatically misses."
Cyclonic Rift,4,Conjuration,1 action,60 ft,"V, S",Instantaneous,"Sorcerer, Wizard",Return to Ravnica,"A large whirlwind appears above you, crackling with magical energy. One creature of your choice that you can see within range must succeed on a Strength saving throw or be lifted into the cloud and thrown 1d10 x 5 feet away from its original location in a random direction, landing prone and taking 1d8 bludgeoning damage for every 5 feet it was thrown in this way. If the target would strike an object or creature, its movement is halted, and both take the bludgeoning damage.
 Overload. When you cast this spell using a spell slot of 7th level or higher, you can instead target any number of creatures you can see within range, and each creature is thrown 4d10 x 5 feet away from its original location. You determine the order in which creatures are thrown by the spell."
Electrickery,1,Evocation,1 bonus action,Self,S,Instantaneous,"Sorcerer, Wizard",Return to Ravnica,"You unleash a burst of electricity in a 10-foot radius around yourself, attempting to stun and confuse nearby threats. One creature of your choice within the radius must make a Dexterity saving throw, taking 1d10 lightning damage on a failed save or half as much on a success. A creature that fails this saving throw is also blinded until the start of its next turn.
 Overload. When you cast this spell using a spell slot of 2nd level or higher, instead each creature within the radius suffers the spell's effects. In addition, the lightning damage increases by 1d10 for each slot level above 1st.
 "
Ancestral Recall,1,Evocation,1 action,Self,"V, S, M (a spellcasting focus worth at least 100 gp, consumed in the casting)",Instantaneous,Wizard,Alpha_Beta_Unlimited,"Like using a minnow to bait a shark, you spend a first level spell slot to drag forth incredible energy from the magical weave surrounding the world. When you use this spell, you may recover up to three expended spell slots, in any combination less than or equal to 3rd level. This can be three 1st level spell slots, one 2nd level spell slot and a 1st level spell slot, or one 3rd level spell slot."
Animate Artifact,6,Transmutation,1 action,Touch,"V, S","Concentration, up to 1 min.",Wizard,Alpha_Beta_Unlimited,"You touch one magical item to which you or an ally are currently attuned. The item animates for the duration of the spell, gaining a fly speed of 30 feet, and acting on your turn. Items animated in this way will follow within 5 feet of you unless otherwise commanded, and any item which is more than 30 feet away from you at the end of your turn becomes inanimate once again. As a bonus action on your turn, you can command the item to perform a specific action, but otherwise it will perform its intended function for the nearest ally. Shields and armor will defend allies, weapons and wands will attack enemies, and other magical items will simply attempt to act as expected. Shields and armor defending an ally grant that creature a +2 bonus to AC, as well as any benefits normally conferred from wearing the item. Weapons will automatically swing at any hostile creature which enters their range, dealing damage as appropriate. Attacks made by these items are made using your spell attack bonus. You are unable to command an item to perform something it would not normally be capable of doing, such as commanding a weapon to defend an ally, or a set of armor or shield to attack an enemy."
Animate Dead,2,Necromancy,1 action,Touch,"V, S, M (a drop of blood, a piece of flesh, or a sliver of skin from yourself)","Concentration, up to 1 hour","Cleric, Wizard",Alpha_Beta_Unlimited,"This spell works exactly like the animate dead spell found on page 212 of the Player's Handbook, except for the changes presented below. As an additional cost to animate the skeleton or zombie, you must take 1d12 necrotic damage, reducing your maximum hit points for the duration of the spell by the amount of damage taken. The creature which you animate has disadvantage on all attack rolls."
Animate Wall,2,Transmutation,1 min,Touch,"V, S, M (a shard or splinter of the wall which you are attempting to animate)","Concentration, up to 1 hour","Bard, Wizard",Alpha_Beta_Unlimited,"You touch a non-magical section of wall, placing it under your control. This spell affects a section of wall no larger than a 5 foot cube. For the duration of the spell, you may use a bonus action to shape the wall into any form you choose which would not cause it to collapse. For instance, you may shape a hole into the wall to move through, or may use the wall to strike out at targets on the other side. You may not stretch a wall more than 5 feet beyond its original size and shape. Any attacks made against targets using part of the wall are made using your spell attack bonus, and deal 1d4 bludgeoning damage.
 At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you may affect another 5 foot cube of wall for every slot level above 2nd. If you cast this spell using a spell slot of 5th level or higher, you may target magical walls cast using a spell slot of the same level, without requiring material components."
Anson's Instant Lure,4,Enchantment,1 action,Touch,V,1 min.,"Bard, Druid, Ranger, Wizard",Alpha_Beta_Unlimited,"Your touch causes a nearby creature or object to become an irresistible target. If you target a creature with this spell, whenever a creature hostile to the target enters within 30 feet of the target, they must make a Wisdom saving throw. On a failed save, the creature is compelled to approach as close as possible to the target. If the creature is able to attack the target, they are magically compelled to do so on their turn. The creature may use an action to end this effect on itself with a successful Wisdom saving throw. If you target an object with this spell, all creatures other than yourself and two others within 120 feet of the object which can see the object must succeed on a Wisdom saving throw, or become magically compelled to stay as close to the object as possible. If the target of this spell, whether it is a creature of object, leaves the sight of any creature magically compelled to approach it, the effect on the creature automatically ends."
Anson's Quiet Pass,2,Illusion,1 action (ritual),Self,S,10 min.,"Ranger, Sorcerer",Alpha_Beta_Unlimited,"For the duration of the spell, you have advantage on all Dexterity (Stealth) checks made to avoid being detected, and may take the Hide action even when you are not behind cover. If you are detected, the spell automatically ends."
Anson's Short-Term Paralyzation,1,Transmutation,1 action,Touch,"V, S, M (a bit of venom from any venomous creature)",Instantaneous,"Sorcerer, Warlock",Alpha_Beta_Unlimited,"Make a spell attack roll against a creature within range. If the attack hits, the creature must succeed on a Constitution saving throw or become paralyzed for 1d4 rounds. The creature may make another Constitution saving throw at the start of each of their turns, ending the effect on themselves on a success."
Armageddon,9,Evocation,1 action,200 ft,"V, S, M (a piece of obsidian)",Instantaneous,Wizard,Alpha_Beta_Unlimited,"Each creature in a 60 foot radius sphere centered on a point you choose within range must succeed on a Dexterity saving throw, taking 18d8 radiant damage on a failed save, or half as much on a successful one. The area of the sphere is then considered to be difficult terrain, as the heat from the spell twists, warps, and melts the ground. Any creature which failed their saving throw becomes stuck in the resulting wasteland, and is considered to be grappled. A creature may escape by using their action to make a DC 22 Strength (Athletics) check. Another creature may use their action to free a trapped creature by making a DC 18 Strength check."
Aspect of Wolf,4,Transmutation,1 action,Touch,"V, S, M (a twig from a pine tree)","Concentration, up to 1 minute","Bard, Cleric, Druid, Sorcerer",Alpha_Beta_Unlimited,"You touch a creature, granting it a +2 bonus to Dexterity and Wisdom for the spell's duration, as well as advantage on Wisdom (Survival) checks made to track other creatures, and advantage on Wisdom (Perception) checks made to hear other creatures.
 At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, the bonus increases to +3, and the target gains advantage on all Wisdom based ability checks. When you cast this spell using a spell slot of 8th level or higher, the bonus increases to +4, the target gains advantage on all Wisdom based ability checks, and advantage on Wisdom saving throws."
Bad Moon,4,Enchantment,1 action,Self,"V, S","Concentration, up to 1 minute","Cleric, Warlock, Wizard",Alpha_Beta_Unlimited,"When you cast this spell, all non-hostile undead creatures within 60 feet of you gain advantage on all saving throws and the first attack roll they make each round, for the duration of the spell. Each round, you may grant one non-hostile undead creature within 60 feet of you 1d8 temporary hit points for the duration of the spell.
 At Higher Levels. When you cast this spell using a 7th level spell slot or higher, the temporary hit points granted increase to 1d10. When you cast this spell using a 9th level spell slot, the temporary hit points granted increase to 1d12."
Balance,6,Abjuration,1 action,120 ft,"V, S",Instantaneous,Wizard,Alpha_Beta_Unlimited,"When you cast this spell, you may expend any number of spell slots as you do so. All creatures in a 30 foot radius sphere centered on a point within range must make a Wisdom saving throw. All creatures within the radius which fail their saves lose spell slots equal in level to the combined level of spell slots sacrificed during the casting of this spell, beginning with spell slots of the lowest available level. If the remaining combined levels of the spell slots sacrificed to cast this spell are lower than the lowest level of the spell slot available to a target, the spell has no further effect. The spell slot used to cast this spell does not apply to the total level of spell slots sacrificed. For instance, if three 3rd level spell slots are sacrificed when this spell is cast, the total combined level of spell slots sacrificed is considered to be nine. If a creature has four 1st level spell slots, two 2nd level spell slots, and one 3rd level spells slot available to them, the spell will first eliminate their five 1st level spells slots, then their 2nd level spell slots, and will then stop- because it no longer has enough energy left to eliminate a 3rd level spell slot."
Berserk,3,Transmutation,"1 reaction, taken when a creature within range makes an attack roll",15 ft,"V, S",Instantaneous,"Bard, Druid",Alpha_Beta_Unlimited,"When a creature in range makes an attack roll, you may use your reaction to cast this spell, granting the attacking creature the raw strength and power of a wild beast. The target doubles the attack and damage rolls for the attack. If the attack reduces a creature to 0 hit points, the target of the spell may make an additional attack this turn. After making the attack, the target automatically takes 6d8 necrotic damage. If the target reduced a creature to 0 hit points with the attack, they take 12d8 necrotic damage instead."
Black Ward,2,Abjuration,1 action,Touch,"V, S, M (a lock of hair from a warlock)","Concentration, up to 1 min.","Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Wizard",Alpha_Beta_Unlimited,"You use the remnant magic in the material component to shield the target from spells of a similar origin, protecting them from all such danger despite the variations found within. For the duration of the spell, a mark reminiscent of a horned skull appears somewhere on the target's skin, and the target is immune to all damage and effects from spells and other magical abilities of warlocks."
Blaze of Glory,2,Abjuration,"1 reaction, taken when an ally is targeted by an attack",30 ft,"V, S, M (a small metal shield)",Instantaneous,"Bard, Sorcerer, Wizard",Alpha_Beta_Unlimited,"You may cast this spell when an ally within range becomes the target of an attack. When you cast this spell, the target gains the features of the Sentinel feat until the end of your next turn. In addition, the target may take any number of reactions until the end of their next turn."
Blessing,3,Abjuration,1 action,15 ft,"S, M (a feather)","Concentration, up to 1 min.","Cleric, Wizard",Alpha_Beta_Unlimited,"When you cast this spell, choose an ally within range. If you're of a good alignment, a thin beam of radiant light stretches between you, before quickly fading away. If you're of an evil alignment, a tangled rope of darkness connects you both before fading. For the duration of the spell, you may use a bonus action to grant the target advantage on the next attack roll they make against a creature within 15 feet of you."
Blue Elemental Blast,2,Evocation,1 reaction taken when a target casts a spell,60 ft,"V, M (a drop of unsalted water)",Instantaneous,Wizard,Alpha_Beta_Unlimited,"You may cast this spell when another creature within range casts a spell. When you cast this spell, if the target spellcaster was a sorcerer, they must make a Charisma saving throw. On a failed save, the target's spell is countered and the spell slot is lost. If the spellcaster is not a sorcerer, they must instead make a Wisdom saving throw, taking 3d6 psychic damage on a failed save."
Blue Ward,2,Abjuration,1 action,Touch,"V, S, M (a wizard's spellbook)","Concentration, up to 1 min.","Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Warlock",Alpha_Beta_Unlimited,You use the remnant magic found within the spellbook to shield a target for the duration from all damage and effects caused by spells cast by Wizards.
Braingeyser,4,Evocation,1 action,Self,"V, M (a scrap of vellum)",Instantaneous,Wizard,Alpha_Beta_Unlimited,"When you cast this spell, you must expend an additional spell slot of any level. When you do so, you regain up to two expended spell slots of one level below the level of the expended spell slot. For example, if you expend a 3rd level spell slot while casting this spell, you regain up to two expended 2nd level spell slots. If you are at the maximum number of spell slots for that level, you do not gain any spell slots by casting this spell."
Burrowing,2,Abjuration,1 action (ritual),Touch,"V, S",1 hr.,"Bard, Sorcerer, Wizard",Alpha_Beta_Unlimited,"Your touch bestows one target with fiery warmth, infusing their very body with flame. For the duration, the target has resistance to fire damage, and gains advantage on their next attack whenever they take fire damage.
 At Higher Levels. When you cast this spell using a 3rd level spell slot or higher, you may target one additional creature for every slot level above 2nd."
Camouflage,2,Transmutation,1 action,30 ft,"V, S","Concentration, up to 5 min.",Ranger,Alpha_Beta_Unlimited,"When you cast this spell, you may choose up to four creatures within range. The chosen targets seem to fade away, becoming almost translucent. The chosen targets gain advantage on all Dexterity (Stealth) checks, and may attempt to use the Hide action even when only lightly obscured.
 At Higher Levels. When you cast this spell using a 3rd level spell slot or higher, you may target two additional creatures for every slot level above 2nd."
Castle,6,Abjuration,1 action,Self,"S, M (a small block of stone weighing at least 1 lb.)","Concentration, up to 1 min.","Sorcerer, Wizard",Alpha_Beta_Unlimited,"You raise your hands and hold the stone block aloft, causing an phantom stone wall to appear in a 30 foot radius around you. This wall is translucent, provides no cover, and does not physically block creatures from walking through it. For the duration of this spell, all attacks made against allies within 30 feet of you have disadvantage. If an ally makes an attack against a target, they lose this benefits of this spell until the beginning of your next turn."
Channel,6,Necromancy,"1 reaction, taken when an ally within 30 feet casts a spell",30 ft,"S, M (a silver dagger worth at least 125 gp)",Instantaneous,"Bard, Druid, Wizard",Alpha_Beta_Unlimited,"You may cast this spell when an ally within range cast a spell. Taking the silver dagger to your skin, you use the energy within your veins to empower the spells of your allies. When you cast this spell, you target an ally within range, causing their spell to act as if it were cast using a spell slot of one level higher. When you do so, you must make a Constitution saving throw, taking 10d12 necrotic damage on a failed save, or half as much on a success."
Chaoslace,2,Transmutation,1 action,120 ft,"V, S",1 min.,"Bard, Sorcerer",Alpha_Beta_Unlimited,"You suffuse a creature or object with a bit of your own magical energy, altering their spellcasting powers. One target of your choice within range must make a Charisma saving throw. On a failed save, any spells cast by the target for the duration are considered to have been cast by a sorcerer."
Circle of Protection: Black,3,Abjuration,1 action,Self,"V, S, M (a lotus pod)","Concentration, up to 1 min.","Cleric, Paladin",Alpha_Beta_Unlimited,"You wave your hands in a semicircle around yourself, creating a barrier of purple energy, which quickly fades to become barely discernible. As a reaction, whenever you are targeted by a spell of 3rd level or lower cast by a Warlock, you may automatically counter that spell, causing the barrier to flash purple again.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the level of the spell which you may counter increases by one for every slot level above 3rd."
Circle of Protection: Blue,3,Abjuration,1 action,Self,"V, S, M (a seashell)","Concentration, up to 1 min.","Cleric, Paladin",Alpha_Beta_Unlimited,"You wave your hands in a semicircle around yourself, creating a barrier of blue energy, which quickly fades to become barely discernible. As a reaction, whenever you are targeted by a spell of 3rd level or lower cast by a Wizard, you may automatically counter that spell, causing the barrier to flash blue again.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the level of the spell which you may counter increases by one for every slot level above 3rd."
Circle of Protection: Green,3,Abjuration,1 action,Self,"V, S, M (a leaf)","Concentration, up to 1 min.","Cleric, Paladin",Alpha_Beta_Unlimited,"You wave your hands in a semicircle around yourself, creating a barrier of green energy, which quickly fades to become barely discernible. As a reaction, whenever you are targeted by a spell of 3rd level or lower cast by a Druid or Ranger, you may automatically counter that spell, causing the barrier to flash green again.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the level of the spell which you may counter increases by one for every slot level above 3rd."
Circle of Protection: Red,3,Abjuration,1 action,Self,"V, S, M (a piece of lava rock)","Concentration, up to 1 min.","Cleric, Paladin",Alpha_Beta_Unlimited,"You wave your hands in a semicircle around yourself, creating a barrier of red energy, which quickly fades to become barely discernible. As a reaction, whenever you are targeted by a spell of 3rd level or lower cast by a Bard or Sorcerer, you may automatically counter that spell, causing the barrier to flash red again.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the level of the spell which you may counter increases by one for every slot level above 3rd."
Circle of Protection: White,3,Abjuration,1 action,Self,"V, S, M (a dove's feather)","Concentration, up to 1 min.","Cleric, Paladin",Alpha_Beta_Unlimited,"You wave your hands in a semicircle around yourself, creating a barrier of white light, which quickly fades to become barely discernible. As a reaction, whenever you are targeted by a spell of 3rd level or lower cast by a Cleric or Paladin, you may automatically counter that spell, causing the barrier to flash with white light again.
 At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the level of the spell which you may counter increases by one for every slot level above 3rd."
Consecrate Land,2,Abjuration,1 action (ritual),10 ft,"V, S, M (a sprinkling of holy water created by you)","Concentration, up to 10 min.","Cleric, Paladin",Alpha_Beta_Unlimited,"Choose a space that you can see within range. You infuse the area in a 15-foot radius around the chosen space with the power of your deity, placing it under their protection. Any creature whose alignment is more than one step away from your deity's which enters this area suffers one level of exhaustion, which remains for as long as they are in the area. In addition, such creatures can not regain hit points while they are in the area, and treat the area as difficult terrain for the duration. Such creatures can not cast spells of 2nd level or lower while in the area. Additionally, all non-sentient objects in the area gain resistance to bludgeoning, piercing, and slashing damage."
Contract From Below,2,Enchantment,1 min (ritual),Self,"V, S",Instantaneous,Warlock,Alpha_Beta_Unlimited,"You psychically contact your patron, making a bargain to trade valuable knowledge for temporary power. When you finish casting this spell, you must choose one spell which you know. You lose knowledge of the method for casting that spell. For the next 30 days, you are unable to cast the spell. After doing so, you regain all expended spell slots."
Control Magic,8,Enchantment,1 action,60 ft,"V, S","Concentration, up to 24 hours",Wizard,Alpha_Beta_Unlimited,"Choose a creature within range. That creature must make a Wisdom saving throw. On a failed save, the target becomes charmed by you for the duration of the spell, creating a mental link between you. As a bonus action on each of your turns, you may mentally command the target. You and the charmed creature do not need to share a language. The target will obey all commands that you give to it, and will not willingly attack you or your allies. If you command the target to do something which would cause it harm, it may attempt another Wisdom saving throw, ending the effect on itself on a success. You may use this spell to target creatures summoned through the use of other spells, such as elementals and animals. Summoned creatures which you charm using this spell do not disappear when the original spell ends, but any such creature will automatically disappear after 1 minute"
